Dato;OvreTN;OvreInorganisk_N[mg/l];OvreOrganisk_N[mg/l];NedreTN;NedreInorganisk_N[mg/l];NedreOrganisk_N[mg/l]
2018-02-08;1.9258064516129;1.392857142857139;0.532949308755761;2.34285714285714;1.9880000000000033;0.35485714285713676
2018-02-09;1.93225806451613;1.399285714285713;0.5329723502304171;2.2642857142857102;1.9115000000000042;0.35278571428570604
2018-02-10;1.9387096774193502;1.4057142857142872;0.5329953917050629;2.18571428571429;1.834999999999996;0.35071428571429397
2018-02-11;1.9451612903225801;1.412142857142861;0.5330184331797191;2.1071428571428603;1.7584999999999968;0.34864285714286325
2018-02-12;1.95161290322581;1.418571428571426;0.533041474654384;2.0285714285714302;1.681999999999999;0.346571428571431
2018-02-13;1.95806451612903;1.425;0.5330645161290299;1.95;1.6055;0.34450000000000003
2018-02-14;1.9645161290322601;1.4314285714285742;0.5330875576036861;1.87142857142857;1.529000000000001;0.3424285714285691
2018-02-15;1.97096774193548;1.437857142857139;0.533110599078341;1.79285714285714;1.452500000000003;0.340357142857137
2018-02-16;1.97741935483871;1.4442857142857128;0.5331336405529972;1.71428571428571;1.3760000000000001;0.3382857142857099
2018-02-17;1.98387096774194;1.4507142857142872;0.5331566820276528;1.6357142857142901;1.2995;0.33621428571429013
2018-02-18;1.99032258064516;1.457142857142861;0.5331797235022991;1.55714285714286;1.223;0.3341428571428601
2018-02-19;1.99677419354839;1.463571428571426;0.5332027649769641;1.47857142857143;1.1465;0.33207142857143
2018-02-20;2.00322580645161;1.47;0.53322580645161;1.4000000000000001;1.07;0.33
2018-02-21;2.00967741935484;1.475806451612907;0.5338709677419329;1.4000000000000001;1.0721935483870961;0.32780645161290384
2018-02-22;2.01612903225806;1.481612903225805;0.5345161290322551;1.4000000000000001;1.0743870967741942;0.3256129032258059
2018-02-23;2.02258064516129;1.487419354838712;0.535161290322578;1.4000000000000001;1.07658064516129;0.32341935483871
2018-02-24;2.02903225806452;1.49322580645161;0.53580645161291;1.4000000000000001;1.0787741935483868;0.32122580645161314
2018-02-25;2.03548387096774;1.499032258064517;0.5364516129032229;1.4000000000000001;1.080967741935484;0.3190322580645161
2018-02-26;2.04193548387097;1.5048387096774152;0.537096774193555;1.4000000000000001;1.083161290322581;0.31683870967741906
2018-02-27;2.04838709677419;1.510645161290322;0.5377419354838681;1.4000000000000001;1.0853548387096772;0.3146451612903229
2018-02-28;2.05483870967742;1.516451612903229;0.5383870967741909;1.4000000000000001;1.087548387096775;0.31245161290322493
2018-03-01;2.06129032258065;1.522258064516127;0.5390322580645229;1.4000000000000001;1.089741935483871;0.31025806451612903
2018-03-02;2.0677419354838698;1.528064516129034;0.5396774193548358;1.4000000000000001;1.091935483870968;0.30806451612903196
2018-03-03;2.0741935483871;1.533870967741932;0.5403225806451678;1.4000000000000001;1.0941290322580648;0.3058709677419352
2018-03-04;2.0806451612903203;1.539677419354839;0.5409677419354811;1.4000000000000001;1.096322580645161;0.303677419354839
2018-03-05;2.08709677419355;1.545483870967746;0.5416129032258041;1.4000000000000001;1.098516129032258;0.30148387096774193
2018-03-06;2.09354838709677;1.551290322580644;0.5422580645161261;1.4000000000000001;1.1007096774193552;0.2992903225806449
2018-03-07;2.1;1.557096774193551;0.542903225806449;1.4000000000000001;1.102903225806452;0.2970967741935481
2018-03-08;2.08888888888889;1.562903225806449;0.5259856630824411;1.4000000000000001;1.105096774193548;0.29490322580645195
2018-03-09;2.07777777777778;1.568709677419356;0.5090681003584241;1.4000000000000001;1.107290322580645;0.2927096774193551
2018-03-10;2.06666666666667;1.574516129032254;0.4921505376344162;1.4000000000000001;1.109483870967742;0.29051612903225804
